epoch,train_loss,val_dice,val_iou,val_bbox_iou,val_bbox_acc05,val_cls_acc,lr_enc,lr_seg,lr_cls
1,2.06271222782135,0.496713537722826,0.5393948335200548,0.43646440581403795,0.3983333333333333,0.11166666666666666,0.001,0.001,0.001
1,2.048965690612793,0.43546679988503456,0.44734055176377296,0.34858358424092306,0.2866666666666667,0.125,0.001,0.001,0.001
2,1.5376373271942139,0.6532079147795836,0.5609997964153687,0.45871223311106246,0.435,0.13166666666666665,0.001,0.001,0.001
1,2.0472583327293394,0.5222926830252012,0.5355912461876869,0.4387611950120737,0.415,0.12666666666666668,0.001,0.001,0.001
1,2.047429927825928,0.48822956507404647,0.4953528539588054,0.3641336354876195,0.31,0.13166666666666665,0.001,0.001,0.001
2,1.5354140510559082,0.6592112769683202,0.5966861034433047,0.5605673016593538,0.635,0.15166666666666667,0.001,0.001,0.001
3,1.423696063041687,0.6776222745577495,0.5886917866766452,0.5659442339914533,0.635,0.18666666666666668,0.001,0.001,0.001
4,1.3185704407691956,0.6722414356966814,0.588793653373917,0.5468318113984342,0.6233333333333333,0.20166666666666666,0.001,0.001,0.001
5,1.267400412797928,0.7047257296741009,0.6241603853801886,0.5948999718076274,0.6866666666666666,0.19666666666666666,0.001,0.001,0.001
6,1.1961203310489654,0.738667635122935,0.6566104054450989,0.6058089162067886,0.6866666666666666,0.245,0.001,0.001,0.001
7,1.1511275267601013,0.72849347392718,0.6411136140426,0.5932174315167491,0.67,0.27166666666666667,0.001,0.001,0.001
8,1.092579251050949,0.7043769275148709,0.6156072994073232,0.5700942758923433,0.635,0.245,0.001,0.001,0.001
9,1.0518160951137543,0.739635510245959,0.6657555624842644,0.6242239170263519,0.6766666666666666,0.155,0.001,0.001,0.001
10,1.0108842363357544,0.7693249921003977,0.6943419565757115,0.6700113396985613,0.7416666666666667,0.24333333333333335,0.001,0.001,0.001
11,1.0000755562782289,0.782485218346119,0.7090305144588153,0.6000959971373718,0.6116666666666667,0.28833333333333333,0.001,0.001,0.001
12,0.9114441447257996,0.7332588588198026,0.6496215624113878,0.5771263099005779,0.6166666666666667,0.415,0.001,0.001,0.001
13,0.9272707164287567,0.7452202727397282,0.6692409873008728,0.5975482581618141,0.6333333333333333,0.32666666666666666,0.001,0.001,0.001
14,0.8360150595903396,0.7828010926644008,0.7159458145499229,0.6565474676967441,0.6933333333333334,0.44333333333333336,0.001,0.001,0.001
15,0.8001147258281708,0.7933036570747694,0.7269238318006198,0.6653031332412095,0.71,0.42333333333333334,0.001,0.001,0.001
16,0.7696498658657074,0.7541836708784103,0.6697425678372383,0.6169404433614903,0.6433333333333333,0.5433333333333333,0.001,0.001,0.001
17,0.7335279420614242,0.8275269538164138,0.7673950975139936,0.7015257332729382,0.76,0.5266666666666666,0.001,0.001,0.001
18,0.6901550110578537,0.7872869044542312,0.7153967310984929,0.589811862053858,0.6,0.5516666666666666,0.001,0.001,0.001
19,0.6632465108633041,0.795685846110185,0.7355999370416005,0.687380051358563,0.7516666666666667,0.36666666666666664,0.001,0.001,0.001
20,0.6344212392568588,0.8105101138353348,0.7540527244408926,0.6919622599143708,0.7366666666666667,0.5566666666666666,0.001,0.001,0.001
21,0.614507306098938,0.8274501780668895,0.772717163960139,0.7227876641468438,0.7783333333333333,0.5983333333333334,0.001,0.001,0.001
22,0.5949332288503647,0.8273176630338033,0.7720748568574588,0.7217555787216888,0.775,0.4716666666666667,0.001,0.001,0.001
23,0.5778876448869705,0.7892526924610138,0.7282176499565443,0.6841261191939746,0.7283333333333334,0.45,0.001,0.001,0.001
24,0.5434032959342003,0.7964539820949237,0.7320717558264732,0.6833799581408118,0.7083333333333334,0.6233333333333333,0.001,0.001,0.001
25,0.5462319605946541,0.8017917310198148,0.7321758146087328,0.6444602267902514,0.6633333333333333,0.5016666666666667,0.001,0.001,0.001
26,0.4826309477686882,0.821629565457503,0.7676453565557798,0.7151813419260598,0.7633333333333333,0.5316666666666666,0.001,0.001,0.001
27,0.47973476219177247,0.8117260113358498,0.7577432970205943,0.6455714886209741,0.67,0.6966666666666667,0.001,0.001,0.001
28,0.45683448296785356,0.8486628189682961,0.7973074744145076,0.7352861046818042,0.7833333333333333,0.6633333333333333,0.001,0.001,0.001
29,0.44639858496189116,0.8139912212888399,0.7547739053765933,0.6613005736676201,0.6833333333333333,0.5833333333333334,0.001,0.001,0.001
30,0.4139195781946182,0.8378306984901428,0.7795780579249064,0.7063086717782402,0.7416666666666667,0.655,0.001,0.001,0.001
31,0.3780417324304581,0.8444374819596608,0.785918340086937,0.6818168819088866,0.7066666666666667,0.63,0.001,0.001,0.001
32,0.3711979026198387,0.8322331825892131,0.7770401656627655,0.7255077853697223,0.7766666666666666,0.7233333333333334,0.001,0.001,0.001
33,0.36135915890336034,0.8293430397907893,0.7753694772720336,0.6790339936425327,0.6983333333333334,0.5583333333333333,0.001,0.001,0.001
34,0.351956792652607,0.8285328696171442,0.7753948554396629,0.6918882129511016,0.7183333333333334,0.6816666666666666,0.001,0.001,0.001
35,0.34024964341521263,0.8367287894090016,0.781896299123764,0.7124819037985877,0.7733333333333333,0.6483333333333333,0.001,0.001,0.001
36,0.35185722717642787,0.8432658702135086,0.7926116640369097,0.7345519032725257,0.7733333333333333,0.655,0.001,0.001,0.001
37,0.32988659593462943,0.8486231277386348,0.7977032293876012,0.7401278844965259,0.79,0.7233333333333334,0.001,0.001,0.001
38,0.30807742819190026,0.8638924360275269,0.8198060497641564,0.7798724522977027,0.825,0.7583333333333333,0.001,0.001,0.001
39,0.3177663514614105,0.8807135492563247,0.835787650446097,0.7909317121980387,0.8516666666666667,0.7366666666666667,0.001,0.001,0.001
40,0.314505140632391,0.8703193346659343,0.8125200554728508,0.7213397414985514,0.7516666666666667,0.665,0.001,0.001,0.001
41,0.2804373317062855,0.8815787454446157,0.8389229426781336,0.7511309164744766,0.7833333333333333,0.685,0.001,0.001,0.001
42,0.25363847428560254,0.8455124129851659,0.797843940059344,0.7499834973042483,0.8033333333333333,0.67,0.001,0.001,0.001
43,0.2545233035981655,0.8334148565928141,0.7822795286774635,0.7124002506960215,0.7633333333333333,0.6533333333333333,0.001,0.001,0.001
44,0.29144158244132995,0.8288493494192759,0.7698400755723317,0.66529262506638,0.6666666666666666,0.695,0.001,0.001,0.001
45,0.2821408958435059,0.8547991752624512,0.8057121967275938,0.7463852796613821,0.7866666666666666,0.77,0.001,0.001,0.001
46,0.2514517680555582,0.8677416036526362,0.8207753886779149,0.7650212240705995,0.8066666666666666,0.705,0.001,0.001,0.001
47,0.2189063359051943,0.8729778210322062,0.8222733894983928,0.7399765141929749,0.7733333333333333,0.6733333333333333,0.001,0.001,0.001
48,0.20445915967226028,0.8642650256554286,0.8213464364409446,0.7775691586903347,0.8266666666666667,0.675,0.001,0.001,0.001
49,0.2272359935939312,0.8965849091609319,0.8562470376491547,0.7824678037687819,0.8166666666666667,0.7966666666666666,0.001,0.001,0.001
50,0.21146025802195073,0.8541834682226181,0.8041743338108063,0.7475030404394651,0.7933333333333333,0.72,0.001,0.001,0.001
51,0.19839409650862216,0.8777620106935501,0.8369373222192128,0.7746986550314259,0.8116666666666666,0.7583333333333333,0.001,0.001,0.001
52,0.2082111761122942,0.8626989881197612,0.8160720666249593,0.7244571180460072,0.7433333333333333,0.7733333333333333,0.001,0.001,0.001
53,0.18482553054392337,0.8510578523079554,0.7957382097840309,0.7097983079067395,0.7166666666666667,0.64,0.001,0.001,0.001
54,0.19053488750755787,0.867188278834025,0.8211290886004766,0.7754876446419875,0.8266666666666667,0.65,0.001,0.001,0.001
55,0.18086402793228626,0.8837048808733622,0.8358798553546269,0.7383184531430897,0.7666666666666667,0.745,0.001,0.001,0.001
56,0.15890842974185942,0.8507114867369334,0.7989566504955292,0.6741368816404713,0.6783333333333333,0.6966666666666667,0.001,0.001,0.001
57,0.17484500716626644,0.8769078592459361,0.8336527640620868,0.7647214272079752,0.7966666666666666,0.7416666666666667,0.001,0.001,0.001
58,0.18551166719198228,0.877973713974158,0.839499884347121,0.8089327148300256,0.8633333333333333,0.7533333333333333,0.001,0.001,0.001
59,0.15023165307939051,0.8709996869166692,0.826572223007679,0.7708138986041019,0.8133333333333334,0.6483333333333333,0.001,0.001,0.001
60,0.17097674430906773,0.8547082230448723,0.8045999576648076,0.7104218794844351,0.7333333333333333,0.745,0.001,0.001,0.001
61,0.16023621754348277,0.8498968521753947,0.8032918403546015,0.6806580395654235,0.6966666666666667,0.6616666666666666,0.001,0.001,0.001
62,0.16117507930099964,0.8623591144879659,0.8221303363641103,0.7987650445371363,0.8566666666666667,0.6716666666666666,0.001,0.001,0.001
63,0.1494032086506486,0.8607185135285059,0.8168796906868617,0.7538598369686803,0.795,0.79,0.001,0.001,0.001
64,0.13932588493824005,0.8723839546243349,0.8297082841396332,0.7832855927894214,0.8233333333333334,0.7633333333333333,0.001,0.001,0.001
65,0.1578097401931882,0.878365766008695,0.8362218856811523,0.7707197565972176,0.8066666666666666,0.7516666666666667,0.001,0.001,0.001
66,0.12699988462030887,0.8684198081493377,0.8268507122993469,0.7895058235379886,0.8416666666666667,0.7516666666666667,0.001,0.001,0.001
67,0.12244350674748421,0.8810318986574809,0.8354050427675247,0.7150984888302542,0.725,0.7666666666666667,0.001,0.001,0.001
68,0.1583380383104086,0.8548480143149694,0.8023115401466687,0.6745428859232695,0.6783333333333333,0.805,0.001,0.001,0.001
69,0.1322941708266735,0.8759886572758356,0.837042719622453,0.7993427661850578,0.8383333333333334,0.8083333333333333,0.001,0.001,0.001
70,0.11959961194545031,0.84816399315993,0.7999208316206932,0.71251830015691,0.72,0.7183333333333334,0.001,0.001,0.001
71,0.10249095214903355,0.8605802228053411,0.8137235606710116,0.7599221188338673,0.8,0.6233333333333333,0.001,0.001,0.001
72,0.12680435172468424,0.8924351960420609,0.851109013458093,0.7652006046289408,0.7883333333333333,0.735,0.001,0.001,0.001
73,0.12882531729340554,0.8299863974253336,0.7818415348728498,0.6886110638135053,0.7183333333333334,0.7433333333333333,0.001,0.001,0.001
74,0.13279302980005742,0.8313096101085345,0.7826109404365221,0.7178713444645707,0.7583333333333333,0.5233333333333333,0.001,0.001,0.001
75,0.11446232146024704,0.8614603708187739,0.8158750121792158,0.7510317093501004,0.7783333333333333,0.7616666666666667,0.001,0.001,0.001
76,0.1655448246821761,0.8666217664877574,0.8266451319058736,0.7858793683402666,0.8333333333333334,0.7933333333333333,0.001,0.001,0.001
77,0.1063109113946557,0.8691470841566722,0.8281128297249476,0.7794017758163791,0.825,0.8116666666666666,0.001,0.001,0.001
78,0.11725435883551837,0.8767908324797948,0.8362307955821355,0.80063101663954,0.845,0.83,0.001,0.001,0.001
79,0.08730633622407913,0.9036740978558858,0.8665165106455485,0.829408747091205,0.8916666666666667,0.775,0.001,0.001,0.001
80,0.09493920566141606,0.8780477156241735,0.8326703101396561,0.7542467684375669,0.7866666666666666,0.675,0.001,0.001,0.001
81,0.1670027441754937,0.8689274142185847,0.8233628114064534,0.7461742352239332,0.775,0.8066666666666666,0.001,0.001,0.001
82,0.11177812098711729,0.8682893216609955,0.8278285106023152,0.7250628879477157,0.7416666666666667,0.79,0.001,0.001,0.001
83,0.09008002509176731,0.8829341908295949,0.8451801334818204,0.8129633622629703,0.8633333333333333,0.7983333333333333,0.001,0.001,0.001
84,0.08825487611442805,0.8594611624876658,0.8210791409015655,0.7939259898285626,0.84,0.7833333333333333,0.001,0.001,0.001
85,0.0885240121409297,0.8855631122986476,0.8462701777617136,0.7847350010719094,0.8283333333333334,0.7866666666666666,0.001,0.001,0.001
86,0.13004660680890084,0.875411190589269,0.831196624537309,0.7269670531168666,0.745,0.7933333333333333,0.001,0.001,0.001
87,0.0749588043242693,0.8890477468570074,0.8485256522893906,0.7747538594297965,0.8116666666666666,0.8033333333333333,0.001,0.001,0.001
88,0.10583525176346302,0.8699361761411031,0.8223385175069173,0.7481463686927531,0.7733333333333333,0.765,0.001,0.001,0.001
89,0.07854148887842893,0.8513246009747187,0.8101111253102621,0.7336797404527977,0.7566666666666667,0.7516666666666667,0.001,0.001,0.001
90,0.0939470397979021,0.8543886174758275,0.8131274084250132,0.7828926217040654,0.8416666666666667,0.7883333333333333,0.001,0.001,0.001
91,0.08965013132244348,0.8994456311066945,0.8643126601974169,0.7849351476479522,0.8133333333333334,0.8316666666666667,0.001,0.001,0.001
92,0.1128551552593708,0.8610414932171504,0.8226663832863171,0.7580970534670213,0.805,0.8166666666666667,0.001,0.001,0.001
93,0.0895723893865943,0.872357044617335,0.8309371600548426,0.7615362601108763,0.8066666666666666,0.785,0.001,0.001,0.001
94,0.09791251099109649,0.8720709135135015,0.8315435215830803,0.7787455596741797,0.8266666666666667,0.825,0.001,0.001,0.001
95,0.08036842999607324,0.8684085657199224,0.8249178151289622,0.7693868569064881,0.805,0.7433333333333333,0.001,0.001,0.001
96,0.08977210582792759,0.878141850233078,0.8387709533174833,0.7874659604191838,0.8233333333333334,0.7983333333333333,0.001,0.001,0.001
97,0.10937682460993528,0.8751090129216512,0.8287999505798022,0.7497851547234968,0.7866666666666666,0.8266666666666667,0.001,0.001,0.001
98,0.07579046899825334,0.8733958502610525,0.8309709588686626,0.7688392725010434,0.8,0.8133333333333334,0.001,0.001,0.001
99,0.06246349430084228,0.8601846565802892,0.8210178251067798,0.7575044911669995,0.79,0.775,0.001,0.001,0.001
100,0.09127718590199947,0.8744436800479889,0.8343347708384196,0.788664248835405,0.83,0.7766666666666666,0.001,0.001,0.001
