epoch,train_loss,val_dice,val_iou,val_bbox_iou,val_bbox_acc05,val_cls_acc,lr_enc,lr_seg,lr_cls
1,2.034597569465637,0.5319252836207549,0.5716461057464282,0.491703812594156,0.515,0.13333333333333333,0.0005,0.001,0.002
2,1.4946919202804565,0.6436813041567803,0.583568595101436,0.5803689380093086,0.6633333333333333,0.11666666666666667,0.0005,0.001,0.002
3,1.3589617347717284,0.681684214125077,0.5924126317103704,0.5596211036613884,0.6266666666666667,0.17666666666666667,0.0005,0.001,0.002
4,1.274474822998047,0.6685415272911389,0.5724036537110806,0.44904502158645165,0.46166666666666667,0.18833333333333332,0.0005,0.001,0.002
5,1.2159539551734924,0.7233130564292272,0.6432559651633104,0.6177993461248712,0.71,0.23333333333333334,0.0005,0.001,0.002
6,1.1659918739795685,0.7417781442403794,0.6614164233207702,0.6040023505953883,0.6566666666666666,0.25,0.0005,0.001,0.002
7,1.1335040485858918,0.7249987706542015,0.6328675384322803,0.5747549998062966,0.6183333333333333,0.2633333333333333,0.0005,0.001,0.002
8,1.086267575263977,0.7052047801514466,0.6019521961609523,0.5431898547282821,0.6116666666666667,0.2,0.0005,0.001,0.002
9,1.066081744670868,0.7890792409578959,0.7228378248711427,0.6659770828883596,0.715,0.215,0.0005,0.001,0.002
10,1.0213697731494904,0.7719832922021548,0.7039412734409173,0.6455743552435087,0.7016666666666667,0.16833333333333333,0.0005,0.001,0.002
11,1.0202960765361786,0.8024998272458712,0.7387111802895864,0.6558608229866233,0.7116666666666667,0.26,0.0005,0.001,0.002
12,0.947880143404007,0.7953503613670667,0.7331283494830132,0.6768239111126999,0.7383333333333333,0.2966666666666667,0.0005,0.001,0.002
13,0.9598713202476501,0.7798044870297114,0.7108974697689215,0.611177600314047,0.63,0.24,0.0005,0.001,0.002
14,0.8990521061420441,0.7746143485109012,0.7111562286814054,0.6486148295590615,0.6916666666666667,0.32166666666666666,0.0005,0.001,0.002
15,0.9030678131580353,0.7779784113168716,0.7060742581884066,0.6271659581349301,0.6566666666666666,0.2,0.0005,0.001,0.002
16,0.8681615750789642,0.8077873463431994,0.7428307438890139,0.6626650099648657,0.695,0.4083333333333333,0.0005,0.001,0.002
17,0.8240064616203309,0.8086333220203717,0.7477334802349408,0.661994647440317,0.6916666666666667,0.38166666666666665,0.0005,0.001,0.002
18,0.8114130001068115,0.8084989115595818,0.7470713550845782,0.6668453377703955,0.69,0.475,0.0005,0.001,0.002
19,0.8011570200920105,0.8078442444403966,0.7557218040029208,0.6991245237623519,0.77,0.23166666666666666,0.0005,0.001,0.002
20,0.7967715229988098,0.8178174470861753,0.7641849940021833,0.6963394126208808,0.7483333333333333,0.47833333333333333,0.0005,0.001,0.002
21,0.7593723442554474,0.8196856811642647,0.7677086586753528,0.7158225943006002,0.7733333333333333,0.4633333333333333,0.0005,0.001,0.002
22,0.7453707038164139,0.8053736577431361,0.7501673084994157,0.7418523815714217,0.8316666666666667,0.3,0.0005,0.001,0.002
23,0.7681141563653946,0.7951581026117007,0.7397898942232132,0.6880816577562763,0.7516666666666667,0.47833333333333333,0.0005,0.001,0.002
1,2.0407838163375853,0.48201315527160965,0.5423390361169974,0.5038817285688324,0.545,0.105,0.0005,0.001,0.002
2,1.4998923115730285,0.6736540764570236,0.6024512213965257,0.5608001699903068,0.6333333333333333,0.13,0.0005,0.001,0.002
3,1.3768007888793945,0.6726278079052767,0.5788661086310943,0.5201738458863014,0.5766666666666667,0.16333333333333333,0.0005,0.001,0.002
4,1.272802227497101,0.6640532930692037,0.5807214324673017,0.5075357038657177,0.5366666666666666,0.19666666666666666,0.0005,0.001,0.002
5,1.2252287342548371,0.7020782846957445,0.6273660022765398,0.5920868764686018,0.67,0.18833333333333332,0.0005,0.001,0.002
6,1.1818551445007324,0.7347137361764908,0.6619541103641192,0.5893011505560269,0.6533333333333333,0.16833333333333333,0.0005,0.001,0.002
7,1.1383804943561553,0.7469459851582845,0.6701443294684092,0.6361720155135128,0.7216666666666667,0.17,0.0005,0.001,0.002
8,1.0879711983203888,0.7440770973761877,0.659411899248759,0.5525439361194151,0.5666666666666667,0.16333333333333333,0.0005,0.001,0.002
9,1.0763536202907562,0.7559290314714114,0.6850008847812812,0.608856638117822,0.66,0.245,0.0005,0.001,0.002
10,1.034639907836914,0.8050515313943227,0.7425830438733101,0.6682441937580853,0.7166666666666667,0.295,0.0005,0.001,0.002
11,1.0380291588306427,0.8086919913689296,0.7440660282969475,0.6383432026412396,0.6666666666666666,0.2833333333333333,0.0005,0.001,0.002
12,0.9922487001419067,0.7739535227417946,0.7084758472939332,0.6418864761877582,0.6783333333333333,0.25333333333333335,0.0005,0.001,0.002
13,0.9994522924423218,0.8003025775154432,0.7405361294746399,0.6512072269146892,0.6883333333333334,0.21333333333333335,0.0005,0.001,0.002
14,0.9627855603694916,0.8040944779912631,0.7407708982626597,0.6181425039450332,0.63,0.31166666666666665,0.0005,0.001,0.002
15,0.9487791197299957,0.7928821141521136,0.7236200665434201,0.6299721200194532,0.6466666666666666,0.325,0.0005,0.001,0.002
16,0.9326176705360413,0.7788955077528954,0.713901877651612,0.6428789108130698,0.665,0.31166666666666665,0.0005,0.001,0.002
17,0.9076498293876648,0.7999601552883784,0.7396426940957705,0.6258138907829336,0.6433333333333333,0.2683333333333333,0.0005,0.001,0.002
18,0.8940754637718201,0.7821949258446693,0.7203314137955507,0.6236821483389915,0.6416666666666667,0.3416666666666667,0.0005,0.001,0.002
19,0.8726404030323028,0.828695639471213,0.7774347831805547,0.7208639673223388,0.7916666666666666,0.19833333333333333,0.0005,0.001,0.002
