epoch,train_loss,val_dice,val_iou,val_bbox_iou,val_bbox_acc05,val_cls_acc,lr_enc,lr_seg,lr_cls
41,0.08624704175442457,0.8899992883205414,0.8349319805701574,0.7528182066768586,0.8016666666666666,0.7766666666666666,0.001,0.001,0.001
42,0.05876714187860489,0.8750777314106624,0.8220435842871666,0.7561009553616962,0.8,0.8066666666666666,0.001,0.001,0.001
43,0.04298740864545107,0.8841270883878072,0.8335354000329971,0.7502045615722956,0.7866666666666666,0.8333333333333334,0.001,0.001,0.001
44,0.03910875060409307,0.8774450163046519,0.8281078452865283,0.7516511501073818,0.8,0.8083333333333333,0.001,0.001,0.001
45,0.044137775957584384,0.8994963665803274,0.8476863582928975,0.7629874669472149,0.8016666666666666,0.785,0.001,0.001,0.001
46,0.08825780874490738,0.8759711007277171,0.8167258868614833,0.7092657842797574,0.74,0.8,0.001,0.001,0.001
47,0.06878937567025423,0.8874657054742178,0.8349700500567754,0.7458772158290057,0.7883333333333333,0.83,0.001,0.001,0.001
48,0.04954920642077923,0.9105230927467346,0.8605064690113068,0.7569256588029806,0.7983333333333333,0.8583333333333333,0.001,0.001,0.001
49,0.07845204836130142,0.8837082087993622,0.8321777482827505,0.7260117294906484,0.7633333333333333,0.8033333333333333,0.001,0.001,0.001
50,0.06359087499976158,0.8791520148515701,0.8243201956152916,0.694568368321245,0.71,0.8066666666666666,0.001,0.001,0.001
51,0.060630296237766744,0.8970792680978775,0.8498139361540477,0.7545610826146958,0.7883333333333333,0.8416666666666667,0.001,0.001,0.001
52,0.0719489454999566,0.8671923180421194,0.8140308717886607,0.7077516694580248,0.7366666666666667,0.7716666666666666,0.001,0.001,0.001
53,0.050832061640918254,0.880249039332072,0.8284716665744781,0.7456929034572348,0.7766666666666666,0.8283333333333334,0.001,0.001,0.001
54,0.0341730556935072,0.8902146438757579,0.8393851071596146,0.7147849387002685,0.7516666666666667,0.825,0.001,0.001,0.001
55,0.05686166687309742,0.8917016496260961,0.8410066505273183,0.7192513081988097,0.755,0.8066666666666666,0.001,0.001,0.001
56,0.062321717128157615,0.8956125994523366,0.8465393995245297,0.7743561114546518,0.8183333333333334,0.845,0.001,0.001,0.001
57,0.07507140307128429,0.898317884405454,0.844614248474439,0.7310236701595435,0.755,0.85,0.001,0.001,0.001
58,0.03883539748191833,0.899408699075381,0.8477780610322952,0.7668199739034717,0.8,0.8433333333333334,0.001,0.001,0.001
59,0.029928787924349307,0.9029718399047851,0.8562792946894964,0.7701512318984153,0.81,0.8483333333333334,0.001,0.001,0.001
